x,y,laneInd,pointInd,z,isStopLine,arrayJunctionId,arrayTrafficLight,arrayTrafficSign
-16.3299108066,280.5932916429,1,80,0,0,-1,-1,-1
-30.9344598694,282.4256763016,1,81,0,0,-1,-1,-1
-39.095130822,283.1528648024,1,82,0,0,-1,-1,-1
-46.0707538475,283.8531203957,1,83,0,0,-1,-1,-1
-53.7735653737,284.7149734336,1,84,0,0,-1,-1,-1
-61.233980733,285.5229606566,1,85,0,0,-1,-1,-1
-68.2184256953,286.1748584033,1,86,0,0,-1,-1,-1
-75.373757136,286.8696060283,1,87,0,0,-1,-1,-1
-80.2237522363,287.4041206528,1,88,0,0,-1,-1,-1
-90.1232190073,288.5921208214,1,89,0,0,-1,-1,-1
-96.7356962556,289.3515770365,1,90,0,0,-1,-1,-1
-103.8832755363,290.055976154,1,91,0,0,-1,-1,-1
-111.1965957857,290.9053986192,1,92,0,0,-1,-1,-1
-118.1369988553,291.6305153578,1,93,0,0,-1,-1,-1
-125.0465032653,292.6947723194,1,94,0,0,-1,-1,-1
-129.6807439439,293.10163819,1,95,0,0,-1,-1,-1
-134.178560203,293.2360318045,1,96,0,0,-1,-1,-1
-137.4361254774,291.8299566617,1,97,0,0,-1,-1,-1
-139.4636046288,289.3927059136,1,98,0,0,-1,-1,-1
-140.1576656534,286.1526771492,1,99,0,0,-1,-1,-1
-140.6363353735,281.6653396072,1,100,0,0,-1,-1,-1
-141.0092525534,277.0038748589,1,101,0,0,-1,-1,-1
-141.2371463855,273.0675268493,1,102,0,0,-1,-1,-1
-141.7123342614,266.5257168205,1,103,0,0,14,-1,-1
-142.2910663499,257.7362293568,1,104,0,0,-1,-1,-1
-142.7052675334,250.5764660432,1,105,0,0,-1,-1,-1
-143.1194687168,243.3575311319,1,106,0,0,-1,-1,-1
-143.7111846931,236.256939416,1,107,0,0,-1,-1,-1
-144.1845574742,229.0971761023,1,108,0,0,-1,-1,-1
-144.5987586576,221.8782411911,1,109,0,0,-1,-1,-1
-144.9537882434,214.8959926704,1,110,0,0,15,-1,-1
-145.3679894268,208.1504305402,1,111,0,0,-1,-1,-1
-145.7821906103,200.3989512503,1,112,0,0,-1,-1,-1
-146.2555633913,193.830903913,1,113,0,0,-1,-1,-1
-146.8472793677,187.2628565757,1,114,0,0,-1,-1,-1
-147.0945473617,182.7826051226,1,115,0,0,-1,-1,-1
-147.5087485452,178.6405932883,1,116,0,1,8,-1,-1
14.8557625643,-0.874072752447,0,7,0,0,-1,-1,-1
16.5443116626,-0.0060486792,0,8,0,0,-1,-1,-1
17.8534113818,1.15023549,0,9,0,0,-1,-1,-1
18.4749400149,2.7040570728,0,10,0,0,-1,-1,-1
-27.1511,280.1238,0,78,0,0,-1,-1,-1
-27.9125543498,281.3768506212,0,79,0,0,-1,-1,-1
-29.1945978102,282.0654138591,0,80,0,0,-1,-1,-1
-86.5756773126,286.2950854145,0,85,0,0,-1,-1,-1
-87.1175227876,287.2034734167,0,86,0,0,-1,-1,-1
-87.8824811053,287.8409386814,0,87,0,0,-1,-1,-1
-88.9821086869,288.3349742616,0,88,0,0,-1,-1,-1
