shapeid;x;y
1;278.5834;-49.39076
1;278.5834;-47.19076
1;278.5834;-45.49076
1;239.2834;-44.89076
1;237.1834;-70.69076
1;239.2834;-71.99076
1;240.1834;-71.59076
1;241.1834;-71.59076
1;238.3834;-71.29076
1;238.1834;-71.79076
2;-88.6166;156.90924
2;-90.9166;121.90924
2;-92.2166;119.90924
2;-96.1166;118.20924
2;-101.4166;119.10924
2;-102.7166;120.10924
2;-104.0166;121.90924
2;-104.2166;123.50924
2;-101.9166;158.10924
2;-99.3166;161.10924
2;-95.7166;162.20924
2;-92.2166;161.30924
2;-89.2166;158.40924
2;-88.8166;157.30924
2;-88.8166;156.20924
2;-88.6166;156.60924
2;-88.6166;156.90924
3;63.3834;-53.09076
3;5.5834;-30.99076
3;3.086755431;-30.2387662741
3;0.3126659653;-29.3769132362
3;-2.6166;-28.49076
3;-6.1150609243;-27.7042988858
3;-9.2166;-36.19076
3;-14.1166;-41.09076
3;-18.4166;-42.99076
3;-21.3166;-35.09076
3;-18.6166;-34.69076
3;-16.387080679;-32.7114917189
3;-15.4629446443;-31.0423888808
3;-14.755697679;-27.2043953491
3;-17.4570183957;-23.1836056788
3;-19.2166;-22.29076
3;-32.4166;-17.99076
3;-49.5166;-11.39076
3;-63.4166;-6.09076
3;-79.4166;3.50924
3;-81.6166;4.70924
3;-86.3166;7.40924
3;-102.4166;16.80924
3;-104.8166;18.30924
3;-106.5166;19.60924
3;-107.2166;20.40924
3;-111.8166;24.50924
3;-118.4038285269;30.2325475346
3;-123.4456687986;33.6988127214
3;-127.7360809529;35.9961897255
3;-131.1834931045;37.1812376526
3;-133.7690522182;38.070023598
3;-136.6508733136;38.9857424507
3;-139.2902982422;39.4436018771
3;-141.5168209822;39.0445804946
3;-146.4813845272;35.3767328545
3;-175.3166;15.30924
3;-224.3664271464;-19.3645049171
3;-244.6038137925;-32.6693611896
3;-247.159746708;-34.3499746135
3;-248.8753729116;-36.6958308511
3;-249.9257563015;-39.9170065802
3;-249.9257563015;-43.3132462077
3;-249.8207179625;-46.0442430215
3;-248.1401045386;-50.5608915982
3;-247.7549639623;-55.6377446496
3;-248.1369169276;-63.1055300947
3;-248.8651827447;-70.1606051971
3;-249.4113821074;-80.401843249
3;-249.8210316295;-90.8251477552
3;-248.6303170187;-102.7286525344
3;-245.5166;-111.49076
3;-237.6166;-121.19076
3;-232.1166;-127.29076
3;-220.4166;-139.09076
3;-207.5956558148;-145.8415190272
3;-195.7472483059;-149.4662740155
3;-179.6413696602;-150.7617468631
